"Time (s)  קפיץ 1 עגלה עם משקולת","Position (m)  קפיץ 1 עגלה עם משקולת","Velocity (m/s)  קפיץ 1 עגלה עם משקולת","Acceleration (m/s²)  קפיץ 1 עגלה עם משקולת","Force (N)  קפיץ 1 עגלה עם משקולת","Time (s) קפיץ 1 ללא משקולת","Position (m) קפיץ 1 ללא משקולת","Velocity (m/s) קפיץ 1 ללא משקולת","Acceleration (m/s²) קפיץ 1 ללא משקולת","Force (N) קפיץ 1 ללא משקולת","Time (s) קפיץ 2 עגלה ללא משקולת","Position (m) קפיץ 2 עגלה ללא משקולת","Velocity (m/s) קפיץ 2 עגלה ללא משקולת","Acceleration (m/s²) קפיץ 2 עגלה ללא משקולת","Force (N) קפיץ 2 עגלה ללא משקולת","Time (s) פלסטלינה ללא משקולת","Position (m) פלסטלינה ללא משקולת","Velocity (m/s) פלסטלינה ללא משקולת","Acceleration (m/s²) פלסטלינה ללא משקולת","Force (N) פלסטלינה ללא משקולת"
1.460,0.02,0.03,0.20,0.0,1.460,0.04,0.06,0.10,0.0,1.460,0.03,0.03,-0.02,0.0,1.460,0.03,0.04,0.14,0.0
1.462,,,,0.0,1.462,,,,0.0,1.462,,,,0.0,1.462,,,,0.0
1.464,,,,0.0,1.464,,,,0.0,1.464,,,,0.0,1.464,,,,0.0
1.466,,,,0.0,1.466,,,,0.0,1.466,,,,0.0,1.466,,,,0.0
1.468,,,,0.0,1.468,,,,0.0,1.468,,,,0.0,1.468,,,,0.0
1.470,0.02,0.03,0.11,0.0,1.470,0.04,0.06,0.05,0.0,1.470,0.03,0.03,0.14,0.0,1.470,0.03,0.04,0.20,0.0
1.472,,,,0.0,1.472,,,,0.0,1.472,,,,0.0,1.472,,,,0.0
1.474,,,,0.0,1.474,,,,0.0,1.474,,,,0.0,1.474,,,,0.0
1.476,,,,0.0,1.476,,,,0.0,1.476,,,,0.0,1.476,,,,0.0
1.478,,,,0.0,1.478,,,,0.0,1.478,,,,0.0,1.478,,,,0.0
1.480,0.02,0.03,-0.04,0.0,1.480,0.04,0.06,-0.01,0.0,1.480,0.03,0.04,0.20,0.0,1.480,0.03,0.05,0.12,0.0
1.482,,,,0.0,1.482,,,,0.0,1.482,,,,0.0,1.482,,,,0.0
1.484,,,,0.0,1.484,,,,0.0,1.484,,,,0.0,1.484,,,,0.0
1.486,,,,0.0,1.486,,,,0.0,1.486,,,,0.0,1.486,,,,0.0
1.488,,,,0.0,1.488,,,,0.0,1.488,,,,0.0,1.488,,,,0.0
1.490,0.02,0.03,-0.10,0.0,1.490,0.04,0.06,0.04,0.0,1.490,0.03,0.04,0.12,0.0,1.490,0.04,0.05,-0.08,0.0
1.492,,,,0.0,1.492,,,,0.0,1.492,,,,0.0,1.492,,,,0.0
1.494,,,,0.0,1.494,,,,0.0,1.494,,,,0.0,1.494,,,,0.0
1.496,,,,0.0,1.496,,,,0.0,1.496,,,,0.0,1.496,,,,0.0
1.498,,,,0.0,1.498,,,,0.0,1.498,,,,0.0,1.498,,,,0.0
1.500,0.02,0.03,-0.05,0.0,1.500,0.04,0.06,0.10,0.0,1.500,0.03,0.04,-0.08,0.0,1.500,0.04,0.04,-0.20,0.0
1.502,,,,0.0,1.502,,,,0.0,1.502,,,,0.0,1.502,,,,0.0
1.504,,,,0.0,1.504,,,,0.0,1.504,,,,0.0,1.504,,,,0.0
1.506,,,,0.0,1.506,,,,0.0,1.506,,,,0.0,1.506,,,,0.0
1.508,,,,0.0,1.508,,,,0.0,1.508,,,,0.0,1.508,,,,0.0
1.510,0.02,0.03,-0.04,0.0,1.510,0.04,0.06,0.11,0.0,1.510,0.03,0.04,-0.20,0.0,1.510,0.04,0.04,-0.16,0.0
1.512,,,,0.0,1.512,,,,0.0,1.512,,,,0.0,1.512,,,,0.0
1.514,,,,0.0,1.514,,,,0.0,1.514,,,,0.0,1.514,,,,0.0
1.516,,,,0.0,1.516,,,,0.0,1.516,,,,0.0,1.516,,,,0.0
1.518,,,,0.0,1.518,,,,0.0,1.518,,,,0.0,1.518,,,,0.0
1.520,0.02,0.03,-0.10,0.0,1.520,0.04,0.06,0.01,0.0,1.520,0.03,0.03,-0.16,0.0,1.520,0.04,0.04,-0.01,0.0
1.522,,,,0.0,1.522,,,,0.0,1.522,,,,0.0,1.522,,,,0.0
1.524,,,,0.0,1.524,,,,0.0,1.524,,,,0.0,1.524,,,,0.0
1.526,,,,0.0,1.526,,,,0.0,1.526,,,,0.0,1.526,,,,0.0
1.528,,,,0.0,1.528,,,,0.0,1.528,,,,0.0,1.528,,,,0.0
1.530,0.02,0.03,-0.07,0.0,1.530,0.05,0.06,-0.10,0.0,1.530,0.03,0.03,-0.02,0.0,1.530,0.04,0.04,0.10,0.0
1.532,,,,0.0,1.532,,,,0.0,1.532,,,,0.0,1.532,,,,0.0
1.534,,,,0.0,1.534,,,,0.0,1.534,,,,0.0,1.534,,,,0.0
1.536,,,,0.0,1.536,,,,0.0,1.536,,,,0.0,1.536,,,,0.0
1.538,,,,0.0,1.538,,,,0.0,1.538,,,,0.0,1.538,,,,0.0
1.540,0.02,0.03,0.08,0.0,1.540,0.05,0.06,-0.10,0.0,1.540,0.03,0.03,0.14,0.0,1.540,0.04,0.04,0.10,0.0
1.542,,,,0.0,1.542,,,,0.0,1.542,,,,0.0,1.542,,,,0.0
1.544,,,,0.0,1.544,,,,0.0,1.544,,,,0.0,1.544,,,,0.0
1.546,,,,0.0,1.546,,,,0.0,1.546,,,,0.0,1.546,,,,0.0
1.548,,,,0.0,1.548,,,,0.0,1.548,,,,0.0,1.548,,,,0.0
1.550,0.02,0.03,0.24,0.0,1.550,0.05,0.06,-0.06,0.0,1.550,0.03,0.04,0.20,0.0,1.550,0.04,0.04,0.05,0.0
1.552,,,,0.0,1.552,,,,0.0,1.552,,,,0.0,1.552,,,,0.0
1.554,,,,0.0,1.554,,,,0.0,1.554,,,,0.0,1.554,,,,0.0
1.556,,,,0.0,1.556,,,,0.0,1.556,,,,0.0,1.556,,,,0.0
1.558,,,,0.0,1.558,,,,0.0,1.558,,,,0.0,1.558,,,,0.0
1.560,0.02,0.03,0.22,0.0,1.560,0.05,0.06,0.03,0.0,1.560,0.03,0.04,0.12,0.0,1.560,0.04,0.04,-5.24E-14,0.0
1.562,,,,0.0,1.562,,,,0.0,1.562,,,,0.0,1.562,,,,0.0
1.564,,,,0.0,1.564,,,,0.0,1.564,,,,0.0,1.564,,,,0.0
1.566,,,,0.0,1.566,,,,0.0,1.566,,,,0.0,1.566,,,,0.0
1.568,,,,0.0,1.568,,,,0.0,1.568,,,,0.0,1.568,,,,0.0
1.570,0.02,0.03,0.02,0.0,1.570,0.05,0.06,0.14,0.0,1.570,0.03,0.04,-0.08,0.0,1.570,0.04,0.04,1.10E-13,0.0
1.572,,,,0.0,1.572,,,,0.0,1.572,,,,0.0,1.572,,,,0.0
1.574,,,,0.0,1.574,,,,0.0,1.574,,,,0.0,1.574,,,,0.0
1.576,,,,0.0,1.576,,,,0.0,1.576,,,,0.0,1.576,,,,0.0
1.578,,,,0.0,1.578,,,,0.0,1.578,,,,0.0,1.578,,,,0.0
1.580,0.02,0.03,-0.15,0.0,1.580,0.05,0.06,0.20,0.0,1.580,0.03,0.04,-0.20,0.0,1.580,0.04,0.04,1.62E-13,0.0
1.582,,,,0.0,1.582,,,,0.0,1.582,,,,0.0,1.582,,,,0.0
1.584,,,,0.0,1.584,,,,0.0,1.584,,,,0.0,1.584,,,,0.0
1.586,,,,0.0,1.586,,,,0.0,1.586,,,,0.0,1.586,,,,0.0
1.588,,,,0.0,1.588,,,,0.0,1.588,,,,0.0,1.588,,,,0.0
1.590,0.02,0.03,-0.12,0.0,1.590,0.05,0.07,0.11,0.0,1.590,0.03,0.03,-0.16,0.0,1.590,0.04,0.04,4.61E-14,0.0
1.592,,,,0.0,1.592,,,,0.0,1.592,,,,0.0,1.592,,,,0.0
1.594,,,,0.0,1.594,,,,0.0,1.594,,,,0.0,1.594,,,,0.0
1.596,,,,0.0,1.596,,,,0.0,1.596,,,,0.0,1.596,,,,0.0
1.598,,,,0.0,1.598,,,,0.0,1.598,,,,0.0,1.598,,,,0.0
1.600,0.02,0.03,0.08,0.0,1.600,0.05,0.07,-0.05,0.0,1.600,0.03,0.03,-0.02,0.0,1.600,0.04,0.04,-6.94E-14,0.0
1.602,,,,0.0,1.602,,,,0.0,1.602,,,,0.0,1.602,,,,0.0
1.604,,,,0.0,1.604,,,,0.0,1.604,,,,0.0,1.604,,,,0.0
1.606,,,,0.0,1.606,,,,0.0,1.606,,,,0.0,1.606,,,,0.0
1.608,,,,0.0,1.608,,,,0.0,1.608,,,,0.0,1.608,,,,0.0
1.610,0.02,0.03,0.20,0.0,1.610,0.05,0.06,-0.06,0.0,1.610,0.03,0.03,0.14,0.0,1.610,0.04,0.04,-8.12E-14,0.0
1.612,,,,0.0,1.612,,,,0.0,1.612,,,,0.0,1.612,,,,0.0
1.614,,,,0.0,1.614,,,,0.0,1.614,,,,0.0,1.614,,,,0.0
1.616,,,,0.0,1.616,,,,0.0,1.616,,,,0.0,1.616,,,,0.0
1.618,,,,0.0,1.618,,,,0.0,1.618,,,,0.0,1.618,,,,0.0
1.620,0.02,0.03,0.16,0.0,1.620,0.05,0.06,0.05,0.0,1.620,0.03,0.04,0.20,0.0,1.620,0.04,0.04,-0.01,0.0
1.622,,,,0.0,1.622,,,,0.0,1.622,,,,0.0,1.622,,,,0.0
1.624,,,,0.0,1.624,,,,0.0,1.624,,,,0.0,1.624,,,,0.0
1.626,,,,0.0,1.626,,,,0.0,1.626,,,,0.0,1.626,,,,0.0
1.628,,,,0.0,1.628,,,,0.0,1.628,,,,0.0,1.628,,,,0.0
1.630,0.02,0.03,0.02,0.0,1.630,0.05,0.07,0.06,0.0,1.630,0.03,0.04,0.12,0.0,1.630,0.04,0.04,0.04,0.0
1.632,,,,0.0,1.632,,,,0.0,1.632,,,,0.0,1.632,,,,0.0
1.634,,,,0.0,1.634,,,,0.0,1.634,,,,0.0,1.634,,,,0.0
1.636,,,,0.0,1.636,,,,0.0,1.636,,,,0.0,1.636,,,,0.0
1.638,,,,0.0,1.638,,,,0.0,1.638,,,,0.0,1.638,,,,0.0
1.640,0.02,0.03,-0.14,0.0,1.640,0.05,0.07,-0.05,0.0,1.640,0.04,0.04,-0.09,0.0,1.640,0.04,0.04,0.14,0.0
1.642,,,,0.0,1.642,,,,0.0,1.642,,,,0.0,1.642,,,,0.0
1.644,,,,0.0,1.644,,,,0.0,1.644,,,,0.0,1.644,,,,0.0
1.646,,,,0.0,1.646,,,,0.0,1.646,,,,0.0,1.646,,,,0.0
1.648,,,,0.0,1.648,,,,0.0,1.648,,,,0.0,1.648,,,,0.0
1.650,0.02,0.03,-0.20,0.0,1.650,0.05,0.06,-0.07,0.0,1.650,0.04,0.04,-0.16,0.0,1.650,0.04,0.05,0.20,0.0
1.652,,,,0.0,1.652,,,,0.0,1.652,,,,0.0,1.652,,,,0.0
1.654,,,,0.0,1.654,,,,0.0,1.654,,,,0.0,1.654,,,,0.0
1.656,,,,0.0,1.656,,,,0.0,1.656,,,,0.0,1.656,,,,0.0
1.658,,,,0.0,1.658,,,,0.0,1.658,,,,0.0,1.658,,,,0.0
1.660,0.02,0.03,-0.12,0.0,1.660,0.05,0.06,0.08,0.0,1.660,0.04,0.03,-0.02,0.0,1.660,0.04,0.05,0.12,0.0
1.662,,,,0.0,1.662,,,,0.0,1.662,,,,0.0,1.662,,,,0.0
1.664,,,,0.0,1.664,,,,0.0,1.664,,,,0.0,1.664,,,,0.0
1.666,,,,0.0,1.666,,,,0.0,1.666,,,,0.0,1.666,,,,0.0
1.668,,,,0.0,1.668,,,,0.0,1.668,,,,0.0,1.668,,,,0.0
1.670,0.02,0.03,0.08,0.0,1.670,0.05,0.07,0.20,0.0,1.670,0.04,0.04,0.15,0.0,1.670,0.04,0.05,-0.08,0.0
1.672,,,,0.0,1.672,,,,0.0,1.672,,,,0.0,1.672,,,,0.0
1.674,,,,0.0,1.674,,,,0.0,1.674,,,,0.0,1.674,,,,0.0
1.676,,,,0.0,1.676,,,,0.0,1.676,,,,0.0,1.676,,,,0.0
1.678,,,,0.0,1.678,,,,0.0,1.678,,,,0.0,1.678,,,,0.0
1.680,0.02,0.03,0.20,0.0,1.680,0.05,0.07,0.16,0.0,1.680,0.04,0.04,0.11,0.0,1.680,0.04,0.05,-0.20,0.0
1.682,,,,0.0,1.682,,,,0.0,1.682,,,,0.0,1.682,,,,0.0
1.684,,,,0.0,1.684,,,,0.0,1.684,,,,0.0,1.684,,,,0.0
1.686,,,,0.0,1.686,,,,0.0,1.686,,,,0.0,1.686,,,,0.0
1.688,,,,0.0,1.688,,,,0.0,1.688,,,,0.0,1.688,,,,0.0
1.690,0.02,0.03,0.16,0.0,1.690,0.06,0.07,0.05,0.0,1.690,0.04,0.04,-0.05,0.0,1.690,0.04,0.04,-0.12,0.0
1.692,,,,0.0,1.692,,,,0.0,1.692,,,,0.0,1.692,,,,0.0
1.694,,,,0.0,1.694,,,,0.0,1.694,,,,0.0,1.694,,,,0.0
1.696,,,,0.0,1.696,,,,0.0,1.696,,,,0.0,1.696,,,,0.0
1.698,,,,0.0,1.698,,,,0.0,1.698,,,,0.0,1.698,,,,0.0
1.700,0.02,0.03,0.05,0.0,1.700,0.06,0.07,1.05E-13,0.0,1.700,0.04,0.04,-0.06,0.0,1.700,0.04,0.04,0.08,0.0
1.702,,,,0.0,1.702,,,,0.0,1.702,,,,0.0,1.702,,,,0.0
1.704,,,,0.0,1.704,,,,0.0,1.704,,,,0.0,1.704,,,,0.0
1.706,,,,0.0,1.706,,,,0.0,1.706,,,,0.0,1.706,,,,0.0
1.708,,,,0.0,1.708,,,,0.0,1.708,,,,0.0,1.708,,,,0.0
1.710,0.02,0.03,6.38E-14,0.0,1.710,0.06,0.07,6.94E-14,0.0,1.710,0.04,0.04,0.04,0.0,1.710,0.04,0.05,0.25,0.0
1.712,,,,0.0,1.712,,,,0.0,1.712,,,,0.0,1.712,,,,0.0
1.714,,,,0.0,1.714,,,,0.0,1.714,,,,0.0,1.714,,,,0.0
1.716,,,,0.0,1.716,,,,0.0,1.716,,,,0.0,1.716,,,,0.0
1.718,,,,0.0,1.718,,,,0.0,1.718,,,,0.0,1.718,,,,0.0
1.720,0.02,0.03,2.91E-14,0.0,1.720,0.06,0.07,-6.25E-15,0.0,1.720,0.04,0.04,0.10,0.0,1.720,0.04,0.05,0.22,0.0
1.722,,,,0.0,1.722,,,,0.0,1.722,,,,0.0,1.722,,,,0.0
1.724,,,,0.0,1.724,,,,0.0,1.724,,,,0.0,1.724,,,,0.0
1.726,,,,0.0,1.726,,,,0.0,1.726,,,,0.0,1.726,,,,0.0
1.728,,,,0.0,1.728,,,,0.0,1.728,,,,0.0,1.728,,,,0.0
1.730,0.02,0.03,-5.24E-14,0.0,1.730,0.06,0.07,-5.83E-14,0.0,1.730,0.04,0.04,0.05,0.0,1.730,0.05,0.05,0.02,0.0
1.732,,,,0.0,1.732,,,,0.0,1.732,,,,0.0,1.732,,,,0.0
1.734,,,,0.0,1.734,,,,0.0,1.734,,,,0.0,1.734,,,,0.0
1.736,,,,0.0,1.736,,,,0.0,1.736,,,,0.0,1.736,,,,0.0
1.738,,,,0.0,1.738,,,,0.0,1.738,,,,0.0,1.738,,,,0.0
1.740,0.02,0.03,-0.01,0.0,1.740,0.06,0.07,-7.01E-14,0.0,1.740,0.04,0.04,0.04,0.0,1.740,0.05,0.05,-0.15,0.0
1.742,,,,0.0,1.742,,,,0.0,1.742,,,,0.0,1.742,,,,0.0
1.744,,,,0.0,1.744,,,,0.0,1.744,,,,0.0,1.744,,,,0.0
1.746,,,,0.0,1.746,,,,0.0,1.746,,,,0.0,1.746,,,,0.0
1.748,,,,0.0,1.748,,,,0.0,1.748,,,,0.0,1.748,,,,0.0
1.750,0.03,0.03,0.04,0.0,1.750,0.06,0.07,-3.54E-14,0.0,1.750,0.04,0.04,0.10,0.0,1.750,0.05,0.05,-0.12,0.0
1.752,,,,0.0,1.752,,,,0.0,1.752,,,,0.0,1.752,,,,0.0
1.754,,,,0.0,1.754,,,,0.0,1.754,,,,0.0,1.754,,,,0.0
1.756,,,,0.0,1.756,,,,0.0,1.756,,,,0.0,1.756,,,,0.0
1.758,,,,0.0,1.758,,,,0.0,1.758,,,,0.0,1.758,,,,0.0
1.760,0.03,0.03,0.14,0.0,1.760,0.06,0.07,2.84E-14,0.0,1.760,0.04,0.04,0.10,0.0,1.760,0.05,0.05,0.08,0.0
1.762,,,,0.0,1.762,,,,0.0,1.762,,,,0.0,1.762,,,,0.0
1.764,,,,0.0,1.764,,,,0.0,1.764,,,,0.0,1.764,,,,0.0
1.766,,,,0.0,1.766,,,,0.0,1.766,,,,0.0,1.766,,,,0.0
1.768,,,,0.0,1.768,,,,0.0,1.768,,,,0.0,1.768,,,,0.0
1.770,0.03,0.04,0.20,0.0,1.770,0.06,0.07,4.65E-14,0.0,1.770,0.04,0.04,0.05,0.0,1.770,0.05,0.05,0.20,0.0
1.772,,,,0.0,1.772,,,,0.0,1.772,,,,0.0,1.772,,,,0.0
1.774,,,,0.0,1.774,,,,0.0,1.774,,,,0.0,1.774,,,,0.0
1.776,,,,0.0,1.776,,,,0.0,1.776,,,,0.0,1.776,,,,0.0
1.778,,,,0.0,1.778,,,,0.0,1.778,,,,0.0,1.778,,,,0.0
1.780,0.03,0.04,0.11,0.0,1.780,0.06,0.07,0.00,0.0,1.780,0.04,0.04,-2.32E-14,0.0,1.780,0.05,0.05,0.12,0.0
1.782,,,,0.0,1.782,,,,0.0,1.782,,,,0.0,1.782,,,,0.0
1.784,,,,0.0,1.784,,,,0.0,1.784,,,,0.0,1.784,,,,0.0
1.786,,,,0.0,1.786,,,,0.0,1.786,,,,0.0,1.786,,,,0.0
1.788,,,,0.0,1.788,,,,0.0,1.788,,,,0.0,1.788,,,,0.0
1.790,0.03,0.04,-0.05,0.0,1.790,0.06,0.07,-5.27E-14,0.0,1.790,0.04,0.04,2.91E-14,0.0,1.790,0.05,0.05,-0.08,0.0
1.792,,,,0.0,1.792,,,,0.0,1.792,,,,0.0,1.792,,,,0.0
1.794,,,,0.0,1.794,,,,0.0,1.794,,,,0.0,1.794,,,,0.0
1.796,,,,0.0,1.796,,,,0.0,1.796,,,,0.0,1.796,,,,0.0
1.798,,,,0.0,1.798,,,,0.0,1.798,,,,0.0,1.798,,,,0.0
1.800,0.03,0.04,-0.06,0.0,1.800,0.06,0.07,-3.47E-14,0.0,1.800,0.04,0.04,2.32E-14,0.0,1.800,0.05,0.05,-0.20,0.0
1.802,,,,0.0,1.802,,,,0.0,1.802,,,,0.0,1.802,,,,0.0
1.804,,,,0.0,1.804,,,,0.0,1.804,,,,0.0,1.804,,,,0.0
1.806,,,,0.0,1.806,,,,0.0,1.806,,,,0.0,1.806,,,,0.0
1.808,,,,0.0,1.808,,,,0.0,1.808,,,,0.0,1.808,,,,0.0
1.810,0.03,0.04,0.04,0.0,1.810,0.06,0.07,3.47E-14,0.0,1.810,0.04,0.04,-1.77E-14,0.0,1.810,0.05,0.05,-0.12,0.0
1.812,,,,0.0,1.812,,,,0.0,1.812,,,,0.0,1.812,,,,0.0
1.814,,,,0.0,1.814,,,,0.0,1.814,,,,0.0,1.814,,,,0.0
1.816,,,,0.0,1.816,,,,0.0,1.816,,,,0.0,1.816,,,,0.0
1.818,,,,0.0,1.818,,,,0.0,1.818,,,,0.0,1.818,,,,0.0
1.820,0.03,0.04,0.10,0.0,1.820,0.06,0.07,6.94E-14,0.0,1.820,0.04,0.04,-0.01,0.0,1.820,0.05,0.05,0.08,0.0
1.822,,,,0.0,1.822,,,,0.0,1.822,,,,0.0,1.822,,,,0.0
1.824,,,,0.0,1.824,,,,0.0,1.824,,,,0.0,1.824,,,,0.0
1.826,,,,0.0,1.826,,,,0.0,1.826,,,,0.0,1.826,,,,0.0
1.828,,,,0.0,1.828,,,,0.0,1.828,,,,0.0,1.828,,,,0.0
1.830,0.03,0.04,0.05,0.0,1.830,0.06,0.07,3.47E-14,0.0,1.830,0.04,0.04,0.04,0.0,1.830,0.05,0.05,0.20,0.0
1.832,,,,0.0,1.832,,,,0.0,1.832,,,,0.0,1.832,,,,0.0
1.834,,,,0.0,1.834,,,,0.0,1.834,,,,0.0,1.834,,,,0.0
1.836,,,,0.0,1.836,,,,0.0,1.836,,,,0.0,1.836,,,,0.0
1.838,,,,0.0,1.838,,,,0.0,1.838,,,,0.0,1.838,,,,0.0
1.840,0.03,0.04,-3.12E-15,0.0,1.840,0.07,0.07,-3.47E-14,0.0,1.840,0.04,0.04,0.10,0.0,1.840,0.05,0.05,0.16,0.0
1.842,,,,0.0,1.842,,,,0.0,1.842,,,,0.0,1.842,,,,0.0
1.844,,,,0.0,1.844,,,,0.0,1.844,,,,0.0,1.844,,,,0.0
1.846,,,,0.0,1.846,,,,0.0,1.846,,,,0.0,1.846,,,,0.0
1.848,,,,0.0,1.848,,,,0.0,1.848,,,,0.0,1.848,,,,0.0
1.850,0.03,0.04,2.78E-15,0.0,1.850,0.07,0.07,-6.94E-14,0.0,1.850,0.04,0.05,0.10,0.0,1.850,0.05,0.05,0.06,0.0
1.852,,,,0.0,1.852,,,,0.0,1.852,,,,0.0,1.852,,,,0.0
1.854,,,,0.0,1.854,,,,0.0,1.854,,,,0.0,1.854,,,,0.0
1.856,,,,0.0,1.856,,,,0.0,1.856,,,,0.0,1.856,,,,0.0
1.858,,,,0.0,1.858,,,,0.0,1.858,,,,0.0,1.858,,,,0.0
1.860,0.03,0.04,-0.01,0.0,1.860,0.07,0.07,-4.58E-14,0.0,1.860,0.04,0.05,0.05,0.0,1.860,0.05,0.05,-0.04,0.0
1.862,,,,0.0,1.862,,,,0.0,1.862,,,,0.0,1.862,,,,0.0
1.864,,,,0.0,1.864,,,,0.0,1.864,,,,0.0,1.864,,,,0.0
1.866,,,,0.0,1.866,,,,0.0,1.866,,,,0.0,1.866,,,,0.0
1.868,,,,0.0,1.868,,,,0.0,1.868,,,,0.0,1.868,,,,0.0
1.870,0.03,0.04,0.04,0.0,1.870,0.07,0.07,1.18E-14,0.0,1.870,0.04,0.05,-5.90E-15,0.0,1.870,0.05,0.05,-0.10,0.0
1.872,,,,0.0,1.872,,,,0.0,1.872,,,,0.0,1.872,,,,0.0
1.874,,,,0.0,1.874,,,,0.0,1.874,,,,0.0,1.874,,,,0.0
1.876,,,,0.0,1.876,,,,0.0,1.876,,,,0.0,1.876,,,,0.0
1.878,,,,0.0,1.878,,,,0.0,1.878,,,,0.0,1.878,,,,0.0
1.880,0.03,0.04,0.10,0.0,1.880,0.07,0.07,5.76E-14,0.0,1.880,0.05,0.05,9.16E-14,0.0,1.880,0.05,0.05,-0.11,0.0
1.882,,,,0.0,1.882,,,,0.0,1.882,,,,0.0,1.882,,,,0.0
1.884,,,,0.0,1.884,,,,0.0,1.884,,,,0.0,1.884,,,,0.0
1.886,,,,0.0,1.886,,,,0.0,1.886,,,,0.0,1.886,,,,0.0
1.888,,,,0.0,1.888,,,,0.0,1.888,,,,0.0,1.888,,,,0.0
1.890,0.03,0.04,0.06,0.0,1.890,0.07,0.07,6.94E-14,0.0,1.890,0.05,0.05,-0.01,0.0,1.890,0.05,0.05,-0.01,0.0
1.892,,,,0.0,1.892,,,,0.0,1.892,,,,0.0,1.892,,,,0.0
1.894,,,,0.0,1.894,,,,0.0,1.894,,,,0.0,1.894,,,,0.0
1.896,,,,0.0,1.896,,,,0.0,1.896,,,,0.0,1.896,,,,0.0
1.898,,,,0.0,1.898,,,,0.0,1.898,,,,0.0,1.898,,,,0.0
1.900,0.03,0.04,-0.04,0.0,1.900,0.07,0.07,2.29E-14,0.0,1.900,0.05,0.05,0.03,0.0,1.900,0.05,0.05,0.10,0.0
1.902,,,,0.0,1.902,,,,0.0,1.902,,,,0.0,1.902,,,,0.0
1.904,,,,0.0,1.904,,,,0.0,1.904,,,,0.0,1.904,,,,0.0
1.906,,,,0.0,1.906,,,,0.0,1.906,,,,0.0,1.906,,,,0.0
1.908,,,,0.0,1.908,,,,0.0,1.908,,,,0.0,1.908,,,,0.0
1.910,0.03,0.04,-0.11,0.0,1.910,0.07,0.07,-6.94E-14,0.0,1.910,0.05,0.05,0.14,0.0,1.910,0.05,0.05,0.10,0.0
1.912,,,,0.0,1.912,,,,0.0,1.912,,,,0.0,1.912,,,,0.0
1.914,,,,0.0,1.914,,,,0.0,1.914,,,,0.0,1.914,,,,0.0
1.916,,,,0.0,1.916,,,,0.0,1.916,,,,0.0,1.916,,,,0.0
1.918,,,,0.0,1.918,,,,0.0,1.918,,,,0.0,1.918,,,,0.0
1.920,0.03,0.04,-0.01,0.0,1.920,0.07,0.07,0.01,0.0,1.920,0.05,0.05,0.20,0.0,1.920,0.05,0.05,0.06,0.0
1.922,,,,0.0,1.922,,,,0.0,1.922,,,,0.0,1.922,,,,0.0
1.924,,,,0.0,1.924,,,,0.0,1.924,,,,0.0,1.924,,,,0.0
1.926,,,,0.0,1.926,,,,0.0,1.926,,,,0.0,1.926,,,,0.0
1.928,,,,0.0,1.928,,,,0.0,1.928,,,,0.0,1.928,,,,0.0
1.930,0.03,0.04,0.10,0.0,1.930,0.07,0.07,-0.03,0.0,1.930,0.05,0.05,0.16,0.0,1.930,0.06,0.05,-0.05,0.0
1.932,,,,0.0,1.932,,,,0.0,1.932,,,,0.0,1.932,,,,0.0
1.934,,,,0.0,1.934,,,,0.0,1.934,,,,0.0,1.934,,,,0.0
1.936,,,,0.0,1.936,,,,0.0,1.936,,,,0.0,1.936,,,,0.0
1.938,,,,0.0,1.938,,,,0.0,1.938,,,,0.0,1.938,,,,0.0
1.940,0.03,0.04,0.10,0.0,1.940,0.07,0.07,-0.14,0.0,1.940,0.05,0.05,0.05,0.0,1.940,0.06,0.05,-0.06,0.0
1.942,,,,0.0,1.942,,,,0.0,1.942,,,,0.0,1.942,,,,0.0
1.944,,,,0.0,1.944,,,,0.0,1.944,,,,0.0,1.944,,,,0.0
1.946,,,,0.0,1.946,,,,0.0,1.946,,,,0.0,1.946,,,,0.0
1.948,,,,0.0,1.948,,,,0.0,1.948,,,,0.0,1.948,,,,0.0
1.950,0.03,0.04,0.05,0.0,1.950,0.07,0.07,-0.20,0.0,1.950,0.05,0.05,-4.51E-15,0.0,1.950,0.06,0.05,0.03,0.0
1.952,,,,0.0,1.952,,,,0.0,1.952,,,,0.0,1.952,,,,0.0
1.954,,,,0.0,1.954,,,,0.0,1.954,,,,0.0,1.954,,,,0.0
1.956,,,,0.0,1.956,,,,0.0,1.956,,,,0.0,1.956,,,,0.0
1.958,,,,0.0,1.958,,,,0.0,1.958,,,,0.0,1.958,,,,0.0
1.960,0.03,0.04,-1.53E-14,0.0,1.960,0.07,0.06,-0.12,0.0,1.960,0.05,0.05,-5.76E-14,0.0,1.960,0.06,0.05,0.19,0.0
1.962,,,,0.0,1.962,,,,0.0,1.962,,,,0.0,1.962,,,,0.0
1.964,,,,0.0,1.964,,,,0.0,1.964,,,,0.0,1.964,,,,0.0
1.966,,,,0.0,1.966,,,,0.0,1.966,,,,0.0,1.966,,,,0.0
1.968,,,,0.0,1.968,,,,0.0,1.968,,,,0.0,1.968,,,,0.0
1.970,0.03,0.04,3.68E-14,0.0,1.970,0.07,0.06,0.08,0.0,1.970,0.05,0.05,-4.16E-14,0.0,1.970,0.06,0.05,0.22,0.0
1.972,,,,0.0,1.972,,,,0.0,1.972,,,,0.0,1.972,,,,0.0
1.974,,,,0.0,1.974,,,,0.0,1.974,,,,0.0,1.974,,,,0.0
1.976,,,,0.0,1.976,,,,0.0,1.976,,,,0.0,1.976,,,,0.0
